Year,시도,Value
2010,0.전국,193.1
2011,0.전국,187.1
2012,0.전국,178.6
2013,0.전국,188.2
2014,0.전국,187.9
2015,0.전국,187.9
2016,0.전국,176.7
2017,0.전국,173.2
2018,0.전국,176.3
2019,0.전국,181.8
2020,0.전국,163.4
2021,0.전국,177.3
2010,1.수도권,191.7937453
2011,1.수도권,182.8161004
2012,1.수도권,173.9211851
2013,1.수도권,185.1475084
2014,1.수도권,185.5098313
2015,1.수도권,185.7378661
2016,1.수도권,175.3307066
2017,1.수도권,172.0624111
2018,1.수도권,175.6917988
2019,1.수도권,181.5458429
2020,1.수도권,162.6325356
2021,1.수도권,176.8320664
2010,2.서울특별시,183
2011,2.서울특별시,174.9
2012,2.서울특별시,166
2013,2.서울특별시,179.5
2014,2.서울특별시,178.9
2015,2.서울특별시,180
2016,2.서울특별시,168
2017,2.서울특별시,166.3
2018,2.서울특별시,171.2
2019,2.서울특별시,177.5
2020,2.서울특별시,157.1
2021,2.서울특별시,172.9
2010,3.인천광역시,201.1
2011,3.인천광역시,193.8
2012,3.인천광역시,183.3
2013,3.인천광역시,193.1
2014,3.인천광역시,193.8
2015,3.인천광역시,191.8
2016,3.인천광역시,183.1
2017,3.인천광역시,177.9
2018,3.인천광역시,179.1
2019,3.인천광역시,183
2020,3.인천광역시,164
2021,3.인천광역시,178.7
2010,4.경기도,196.9
2011,4.경기도,186.9
2012,4.경기도,178.5
2013,4.경기도,188
2014,4.경기도,188.9
2015,4.경기도,188.7
2016,4.경기도,179.1
2017,4.경기도,175.1
2018,4.경기도,178.2
2019,4.경기도,184.2
2020,4.경기도,166.4
2021,4.경기도,179.3
